season,year,date_month,date_dayofweek,hour,holiday,workingDay,weather,temp,atemp,humidity,windSpeed,casual,registered,count
1.0,0.0,1,5,0.0,0.0,0.0,1.0,0.24,0.2879,0.81,0.0,3.0,13.0,16.0
1.0,0.0,1,5,1.0,0.0,0.0,1.0,0.22,0.2727,0.8,0.0,8.0,32.0,40.0
1.0,0.0,1,5,2.0,0.0,0.0,1.0,0.22,0.2727,0.8,0.0,5.0,27.0,32.0
1.0,0.0,1,5,3.0,0.0,0.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0
1.0,0.0,1,5,4.0,0.0,0.0,1.0,0.24,0.2879,0.75,0.0,0.0,1.0,1.0
1.0,0.0,1,5,5.0,0.0,0.0,2.0,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
1.0,0.0,1,5,6.0,0.0,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
1.0,0.0,1,5,7.0,0.0,0.0,1.0,0.2,0.2576,0.86,0.0,1.0,2.0,3.0
1.0,0.0,1,5,8.0,0.0,0.0,1.0,0.24,0.2879,0.75,0.0,1.0,7.0,8.0
1.0,0.0,1,5,9.0,0.0,0.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0
1.0,0.0,1,5,10.0,0.0,0.0,1.0,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0
1.0,0.0,1,5,12.0,0.0,0.0,1.0,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0
1.0,0.0,1,5,13.0,0.0,0.0,2.0,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0
1.0,0.0,1,5,14.0,0.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0
1.0,0.0,1,5,15.0,0.0,0.0,2.0,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0
1.0,0.0,1,5,16.0,0.0,0.0,2.0,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0
1.0,0.0,1,5,17.0,0.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0
1.0,0.0,1,5,18.0,0.0,0.0,3.0,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0
1.0,0.0,1,5,19.0,0.0,0.0,3.0,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0
1.0,0.0,1,5,20.0,0.0,0.0,2.0,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
1.0,0.0,1,5,21.0,0.0,0.0,2.0,0.4,0.4091,0.87,0.194,3.0,31.0,34.0
1.0,0.0,1,5,22.0,0.0,0.0,2.0,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0
1.0,0.0,1,5,23.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0
1.0,0.0,1,6,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0
1.0,0.0,1,6,1.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0
1.0,0.0,1,6,2.0,0.0,0.0,2.0,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0
1.0,0.0,1,6,3.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0
1.0,0.0,1,6,4.0,0.0,0.0,2.0,0.46,0.4545,0.94,0.194,2.0,1.0,3.0
1.0,0.0,1,6,6.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0
1.0,0.0,1,6,7.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0
1.0,0.0,1,6,8.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0
1.0,0.0,1,6,9.0,0.0,0.0,2.0,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0
1.0,0.0,1,6,10.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0
1.0,0.0,1,6,11.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0
1.0,0.0,1,6,12.0,0.0,0.0,2.0,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0
1.0,0.0,1,6,13.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0
1.0,0.0,1,6,14.0,0.0,0.0,3.0,0.36,0.3485,0.76,0.194,4.0,55.0,59.0
1.0,0.0,1,6,15.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0
